   Time             Pg                Vg                Vr                Qg              
 2.210000000E-003  1.068915473E-001  2.961556758E+002  2.302507113E+002  2.356720016E+000 
 2.220000000E-003  1.095145923E-001  2.967719612E+002  2.310379186E+002  2.356720016E+000 
 2.230000000E-003  1.121896665E-001  2.973840289E+002  2.318218423E+002  2.356720016E+000 
 2.240000000E-003  1.149175536E-001  2.979918700E+002  2.326024713E+002  2.356720016E+000 
 2.250000000E-003  1.176990450E-001  2.985954760E+002  2.333797946E+002  2.356720016E+000 
 2.260000000E-003  1.205349404E-001  2.991948383E+002  2.341538009E+002  2.356720016E+000 
 2.270000000E-003  1.234260471E-001  2.997899484E+002  2.349244795E+002  2.356720016E+000 
 2.280000000E-003  1.263731806E-001  3.003807978E+002  2.356918192E+002  2.356720016E+000 
 2.290000000E-003  1.293771642E-001  3.009673782E+002  2.364558092E+002  2.356720016E+000 
 2.300000000E-003  1.324388295E-001  3.015496811E+002  2.372164387E+002  2.356720016E+000 
 2.310000000E-003  1.355590160E-001  3.021276983E+002  2.379736968E+002  2.356720016E+000 
 2.320000000E-003  1.387385714E-001  3.027014217E+002  2.387275728E+002  2.356720016E+000 
 2.330000000E-003  1.419783514E-001  3.032708429E+002  2.394780559E+002  2.356720016E+000 
 2.340000000E-003  1.452792201E-001  3.038359541E+002  2.402251355E+002  2.356720016E+000 
 2.350000000E-003  1.486420496E-001  3.043967470E+002  2.409688010E+002  3.794185704E+000 
 2.360000000E-003  1.520677203E-001  3.049532138E+002  2.417090418E+002  3.794185704E+000 
 2.370000000E-003  1.555571210E-001  3.055053465E+002  2.424458473E+002  3.794185704E+000 
 2.380000000E-003  1.591111485E-001  3.060531374E+002  2.431792072E+002  3.794185704E+000 
 2.390000000E-003  1.627307083E-001  3.065965785E+002  2.439091110E+002  3.794185704E+000 
 2.400000000E-003  1.664167139E-001  3.071356622E+002  2.446355482E+002  3.794185704E+000 
 2.410000000E-003  1.701700874E-001  3.076703808E+002  2.453585087E+002  3.794185704E+000 
 2.420000000E-003  1.739917592E-001  3.082007268E+002  2.460779820E+002  3.794185704E+000 
 2.430000000E-003  1.778826682E-001  3.087266926E+002  2.467939581E+002  3.794185704E+000 
 2.440000000E-003  1.818437619E-001  3.092482706E+002  2.475064267E+002  3.794185704E+000 
 2.450000000E-003  1.858759959E-001  3.097654536E+002  2.482153776E+002  3.794185704E+000 
 2.460000000E-003  1.899803348E-001  3.102782341E+002  2.489208009E+002  3.794185704E+000 
 2.470000000E-003  1.941577515E-001  3.107866048E+002  2.496226864E+002  3.794185704E+000 
 2.480000000E-003  1.984092275E-001  3.112905586E+002  2.503210243E+002  3.794185704E+000 
 2.490000000E-003  2.027357529E-001  3.117900883E+002  2.510158045E+002  3.794185704E+000 
 2.500000000E-003  2.071383264E-001  3.122851867E+002  2.517070172E+002  3.794185704E+000 
