   Time             V3N               V2N               V1N               V23               V12               V31             
 3.416000000E-002  0.000000000E+000 -7.105427358E-015  0.000000000E+000 -7.105427358E-015  7.105427358E-015  0.000000000E+000 
 3.417000000E-002  0.000000000E+000  7.105427358E-015 -7.105427358E-015  7.105427358E-015 -1.421085472E-014  7.105427358E-015 
 3.418000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989334E+001  9.999989334E+001 -1.421085472E-014 
 3.419000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  0.000000000E+000 
 3.420000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  0.000000000E+000 
 3.421000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.422000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  0.000000000E+000  9.999989333E+001 
 3.423000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.424000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.425000000E-002  7.105427358E-015  7.105427358E-015 -7.105427358E-015  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.426000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.427000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989334E+001  1.421085472E-014  9.999989334E+001 
 3.428000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.429000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.430000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -2.131628207E-014 
 3.431000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.432000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.433000000E-002  0.000000000E+000  0.000000000E+000  7.105427358E-015  0.000000000E+000  7.105427358E-015 -7.105427358E-015 
 3.434000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989334E+001  9.999989334E+001 -2.131628207E-014 
 3.435000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.436000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.437000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.438000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  7.105427358E-015 
 3.439000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  2.131628207E-014  9.999989333E+001 
 3.440000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.441000000E-002  0.000000000E+000  0.000000000E+000 -7.105427358E-015  0.000000000E+000 -7.105427358E-015  7.105427358E-015 
 3.442000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.443000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.444000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989334E+001  2.131628207E-014  9.999989334E+001 
 3.445000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.446000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
