   Time             Vo                Vo_             
 2.230000000E-003 -3.251377747E+002 -1.984320352E+002 
 2.240000000E-003 -3.251149677E+002 -1.996582793E+002 
 2.250000000E-003 -3.250917909E+002 -2.010578435E+002 
 2.260000000E-003 -3.250682485E+002 -2.026143491E+002 
 2.270000000E-003  3.299560388E+002 -2.046107369E+002 
 2.280000000E-003  3.299789050E+002 -2.053964728E+002 
 2.290000000E-003 -3.249993723E+002 -2.053108308E+002 
 2.300000000E-003 -3.249773327E+002 -2.054502421E+002 
 2.310000000E-003 -3.249550291E+002 -2.057716184E+002 
 2.320000000E-003 -3.249323741E+002 -2.063225870E+002 
 2.330000000E-003 -3.249093695E+002 -2.070842493E+002 
 2.340000000E-003 -3.248860177E+002 -2.080387109E+002 
 2.350000000E-003 -3.248623214E+002 -2.091690432E+002 
 2.360000000E-003 -3.248382842E+002 -2.104592444E+002 
 2.370000000E-003 -3.248139097E+002 -2.118942028E+002 
 2.380000000E-003 -3.247892024E+002 -2.134596606E+002 
 2.390000000E-003  3.302348065E+002 -2.143788404E+002 
 2.400000000E-003 -3.247426523E+002 -2.141982858E+002 
 2.410000000E-003 -3.247196256E+002 -2.143673411E+002 
 2.420000000E-003 -3.246963552E+002 -2.147020568E+002 
 2.430000000E-003 -3.246727605E+002 -2.152457288E+002 
 2.440000000E-003 -3.246488433E+002 -2.159810604E+002 
 2.450000000E-003 -3.246246058E+002 -2.168916771E+002 
 2.460000000E-003 -3.246000508E+002 -2.179620899E+002 
 2.470000000E-003 -3.245751814E+002 -2.191776607E+002 
 2.480000000E-003 -3.245500013E+002 -2.205245679E+002 
 2.490000000E-003 -3.245245146E+002 -2.219897727E+002 
 2.500000000E-003  3.305005863E+002 -2.230388308E+002 
 2.510000000E-003 -3.244758619E+002 -2.229205799E+002 
 2.520000000E-003 -3.244518833E+002 -2.231067667E+002 
 2.530000000E-003 -3.244276809E+002 -2.234433003E+002 
 2.540000000E-003 -3.244031808E+002 -2.239694233E+002 
 2.550000000E-003 -3.243783847E+002 -2.246693657E+002 
 2.560000000E-003 -3.243532946E+002 -2.255281999E+002 
 2.570000000E-003 -3.243279133E+002 -2.265318076E+002 
 2.580000000E-003 -3.243022438E+002 -2.276668479E+002 
 2.590000000E-003 -3.242762893E+002 -2.289207259E+002 
 2.600000000E-003 -3.242500538E+002 -2.302815621E+002 
 2.610000000E-003  3.307760856E+002 -2.314473432E+002 
 2.620000000E-003 -3.241993836E+002 -2.313881144E+002 
 2.630000000E-003 -3.241744956E+002 -2.315805173E+002 
 2.640000000E-003 -3.241494031E+002 -2.319089923E+002 
 2.650000000E-003 -3.241240387E+002 -2.324090178E+002 
 2.660000000E-003 -3.240984039E+002 -2.330662664E+002 
 2.670000000E-003 -3.240725009E+002 -2.338671772E+002 
 2.680000000E-003 -3.240463319E+002 -2.347989264E+002 
 2.690000000E-003 -3.240198999E+002 -2.358493975E+002 
 2.700000000E-003 -3.239932080E+002 -2.370071530E+002 
 2.710000000E-003 -3.239662597E+002 -2.382614061E+002 
 2.720000000E-003  3.310608648E+002 -2.395342831E+002 
 2.730000000E-003 -3.239136602E+002 -2.395339712E+002 
 2.740000000E-003 -3.238879104E+002 -2.397230057E+002 
 2.750000000E-003 -3.238619748E+002 -2.400349047E+002 
 2.760000000E-003 -3.238357921E+002 -2.405016766E+002 
 2.770000000E-003 -3.238093638E+002 -2.411103468E+002 
 2.780000000E-003 -3.237826917E+002 -2.418486365E+002 
 2.790000000E-003 -3.237557781E+002 -2.427049348E+002 
 2.800000000E-003 -3.237286256E+002 -2.436682722E+002 
 2.810000000E-003 -3.237012372E+002 -2.447282950E+002 
 2.820000000E-003 -3.236736159E+002 -2.458752396E+002 
 2.830000000E-003  3.313544409E+002 -2.472483156E+002 
 2.840000000E-003 -3.236191757E+002 -2.473098283E+002 
 2.850000000E-003 -3.235926158E+002 -2.474868358E+002 
 2.860000000E-003 -3.235658878E+002 -2.477745896E+002 
 2.870000000E-003 -3.235389364E+002 -2.482019270E+002 
 2.880000000E-003 -3.235117630E+002 -2.487571332E+002 
 2.890000000E-003 -3.234843692E+002 -2.494291215E+002 
 2.900000000E-003 -3.234567572E+002 -2.502074093E+002 
 2.910000000E-003 -3.234289292E+002 -2.510820938E+002 
 2.920000000E-003 -3.234008880E+002 -2.520438280E+002 
 2.930000000E-003 -3.233726364E+002 -2.530837985E+002 
 2.940000000E-003 -3.233441777E+002 -2.541937029E+002 
 2.950000000E-003 -3.233155151E+002 -2.553657282E+002 
 2.960000000E-003 -3.232866522E+002 -2.565925302E+002 
 2.970000000E-003 -3.232575926E+002 -2.578672122E+002 
 2.980000000E-003 -3.232283404E+002 -2.591833063E+002 
 2.990000000E-003 -3.231988993E+002 -2.605347536E+002 
 3.000000000E-003 -3.231692735E+002 -2.619158856E+002 
 3.010000000E-003 -3.231394671E+002 -2.633214067E+002 
 3.020000000E-003 -3.231094844E+002 -2.647463764E+002 
 3.030000000E-003 -3.230793296E+002 -2.661861927E+002 
 3.040000000E-003 -3.230490071E+002 -2.676365758E+002 
 3.050000000E-003 -3.230185213E+002 -2.690935524E+002 
 3.060000000E-003 -3.229878764E+002 -2.705534408E+002 
